time,pos_x,pos_y,pos_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.533500000000099739e+01,-1.919348408026633868e+00,3.840035194692048570e-01,1.421554785793523124e+00,-1.283488840878265203e-01,9.385636419859059998e-03,9.910947309150902385e+00,6.192903160882218825e-04,-2.684010823251077246e-02,6.559412475207809790e-01
1.534000000000099817e+01,-1.920407020607609150e+00,3.815016149894640551e-01,1.421247336635794500e+00,-1.393526830423948426e-01,1.470437389099008875e-02,9.900754027435505478e+00,9.606623910705497892e-04,-2.783867854022341673e-02,6.556749602719549319e-01
1.534500000000099895e+01,-1.921458225841130574e+00,3.789938396060575920e-01,1.420942117646513125e+00,-1.314154566571339722e-01,-1.140833842256165805e-02,9.901770114217502083e+00,6.186951551123836017e-04,-2.629698186972660723e-02,6.540865326201098506e-01
1.535000000000099973e+01,-1.922502021023192675e+00,3.764802320308476835e-01,1.420639130031944086e+00,-1.531945523871963144e-01,1.870106215440393849e-02,9.909985115560363766e+00,1.771001760340623057e-03,-2.686959919933121915e-02,6.507479957306140372e-01
1.535500000000100052e+01,-1.923538403490064663e+00,3.739608308870991937e-01,1.420338374983468155e+00,-1.232382121120110530e-01,-8.235878101741249402e-03,9.913888013134561916e+00,7.420612948154841140e-04,-2.781102595791996868e-02,6.520436202141484117e-01
1.536000000000100130e+01,-1.924567370596881988e+00,3.714356747115432622e-01,1.420039853677141473e+00,-1.341816036995010231e-01,2.171385473740305300e-02,9.918739286345989115e+00,1.854676479043719170e-03,-2.642653325614674822e-02,6.477791637376982825e-01
1.536500000000100208e+01,-1.925588919696489709e+00,3.689048019591870675e-01,1.419743567273360707e+00,-1.361760273077886052e-01,1.643427074773816735e-02,9.903978738669515280e+00,8.128764289561542624e-04,-2.711905045074116880e-02,6.462283375991038081e-01
1.537000000000100286e+01,-1.926603048118866734e+00,3.663682510107784118e-01,1.419449516916639009e+00,-1.348595691363846383e-01,-1.154062808802030007e-02,9.915430697158855722e+00,-4.702452794018933263e-04,-2.790730458997289429e-02,6.441778472090490260e-01
1.537500000000100364e+01,-1.927609753151449556e+00,3.638260601827928986e-01,1.419157703735495213e+00,-1.351082641533588036e-01,-1.203965128263255469e-02,9.916373444901706691e+00,2.464964548698946999e-04,-2.804180151529103715e-02,6.419826712603357022e-01
1.538000000000100442e+01,-1.928609032020658365e+00,3.612782677397727293e-01,1.418868128842455834e+00,-1.573635713235062850e-01,1.416355762825105558e-02,9.931734697374301035e+00,1.780233959558397572e-03,-2.822673412084637096e-02,6.411919000384613820e-01
1.538500000000100520e+01,-1.929600881874909080e+00,3.587249119088092297e-01,1.418580793334170087e+00,-1.316873486536055682e-01,7.380538873695581883e-03,9.923941970114974254e+00,-7.614346568185774607e-04,-2.775841601499936737e-02,6.392952461460439384e-01
1.539000000000100599e+01,-1.930585299769368657e+00,3.561660308959292420e-01,1.418295698291634599e+00,-1.411890801223384950e-01,-5.957922083114669705e-03,9.902309570329958177e+00,-1.165825507319928362e-04,-2.782167624683894863e-02,6.359916358816822823e-01
1.539500000000100677e+01,-1.931562282652685925e+00,3.536016629041153769e-01,1.418012844780524251e+00,-1.244324821385759949e-01,-6.082631491548477071e-03,9.912446239397764813e+00,-1.030973894066598666e-03,-2.684327127630647264e-02,6.358874459331302909e-01
1.540000000000100755e+01,-1.932531827355892906e+00,3.510318461526668044e-01,1.417732233851622281e+00,-1.340194589940607861e-01,3.819769169542811850e-03,9.903474149432872409e+00,-2.314871669696313625e-03,-2.651703103082368729e-02,6.334980795012696841e-01
1.540500000000100833e+01,-1.933493930583644493e+00,3.484566188975851131e-01,1.417453866541342977e+00,-1.466528534847687804e-01,1.072889585782383845e-02,9.917759235957694486e+00,-1.052453783879929352e-04,-2.752224431279900324e-02,6.294499984225851996e-01
1.541000000000100911e+01,-1.934448588907918598e+00,3.458760194526570020e-01,1.417177743872338747e+00,-1.439154978833294130e-01,4.667993837975277331e-03,9.904971997000144412e+00,-1.005192115498279365e-03,-2.795424203819348724e-02,6.289696465021141769e-01
1.541500000000100989e+01,-1.935395798764266928e+00,3.432900862108933526e-01,1.416903866854180238e+00,-1.443261497891599743e-01,9.242281428765214066e-03,9.910054960343826380e+00,-3.169113865329870570e-04,-2.592382342923067740e-02,6.261602298612501949e-01
1.542000000000101068e+01,-1.936335556450663242e+00,3.406988576659807366e-01,1.416632236484100638e+00,-1.362260276532249736e-01,1.920832640177559756e-03,9.883200723474653060e+00,-3.866912151931205591e-03,-2.692661865267821641e-02,6.245176073613816214e-01
1.542500000000101146e+01,-1.937267858128955300e+00,3.381023724334022429e-01,1.416362853747791251e+00,-1.309245322663275257e-01,1.546641890917557424e-02,9.907890521822373842e+00,-2.032816173129529599e-03,-2.730865446828990850e-02,6.218650412629646018e-01
1.543000000000101224e+01,-1.938192699828886312e+00,3.355006692708891736e-01,1.416095719620236171e+00,-1.312970835279259341e-01,-2.033696830254255045e-02,9.914981587773860738e+00,-1.313894371958363328e-03,-2.971393410227718065e-02,6.211893146148440570e-01
1.543500000000101302e+01,-1.939110077454613501e+00,3.328937870978781466e-01,1.415830835066572702e+00,-1.357488884457471456e-01,2.302963973836817928e-03,9.904483525456074133e+00,-3.866372260816360561e-03,-2.836686928344850367e-02,6.207401564066143962e-01
1.544000000000101380e+01,-1.940019986793610762e+00,3.302817650136627425e-01,1.415568201042966212e+00,-1.376467054266909684e-01,-1.629184533613864741e-02,9.882618344058936799e+00,-3.524370678854545687e-04,-2.909216798062026418e-02,6.179727065212171633e-01
1.544500000000101458e+01,-1.940922423527805085e+00,3.276646423139511488e-01,1.415307818497483439e+00,-1.343643644634596179e-01,3.101229729516113368e-03,9.874483731862472524e+00,-2.508419184998375139e-03,-2.873487856315779659e-02,6.161898898044010364e-01
1.545000000000101537e+01,-1.941817383246767115e+00,3.250424585055657345e-01,1.415049688370954017e+00,-1.462679548088115788e-01,-1.150237760257164996e-02,9.889286053861836123e+00,-2.566283199383082459e-03,-3.030385868844187591e-02,6.147701756342602852e-01
1.545500000000101615e+01,-1.942704861462737576e+00,3.224152533190509651e-01,1.414793811597804929e+00,-1.204700618251477173e-01,6.840351541826966697e-03,9.898903901174836761e+00,-3.758997416962989342e-03,-2.977308187648369103e-02,6.135078261088366958e-01
1.546000000000101693e+01,-1.943584853627251752e+00,3.197830667189878184e-01,1.414540189106857415e+00,-1.356764327115612401e-01,1.826464888067123177e-02,9.894683513442613432e+00,-1.894929709693454235e-03,-2.919766087969516422e-02,6.126514758083670964e-01
1.546500000000101771e+01,-1.944457355149093125e+00,3.171459389118501671e-01,1.414288821822073938e+00,-1.181931129566056449e-01,1.931278900181853525e-02,9.925834391978977322e+00,-3.677381320475030593e-03,-3.028634688341315037e-02,6.089063891088466463e-01
1.547000000000101849e+01,-1.945322361413293732e+00,3.145039103512764500e-01,1.414039710663244298e+00,-1.273578993213972943e-01,-1.450699745219475104e-02,9.921545420541653115e+00,2.153149896142298424e-04,-2.822241547276899132e-02,6.072933374420863561e-01
1.547500000000101927e+01,-1.946179867800878815e+00,3.118570217406705924e-01,1.413792856546601140e+00,-1.285330880969149381e-01,-7.017670732406966830e-03,9.891907976308578654e+00,-2.081305802462810918e-03,-2.959605542725678162e-02,6.075639516582780342e-01
1.548000000000102006e+01,-1.947029869709048011e+00,3.092053140330873195e-01,1.413548260385357080e+00,-1.481287074814630900e-01,5.288427371883107700e-03,9.900730060150014111e+00,-3.967992881733840502e-03,-3.110082582622613820e-02,6.059220615889491235e-01
